Designator,Mid X,Mid Y,Rotation,Layer
C1,-62.273855,50.65877,90.0,bottom
C10,-42.477,43.561,90.0,bottom
C11,-56.3665,-5.08,180.0,bottom
C14,-68.199,-4.572,270.0,bottom
C15,-75.184,-4.5435,90.0,bottom
C16,-47.176,0.185,0.0,bottom
C2,-52.621855,45.95977,270.0,bottom
C3,-58.971855,45.95977,90.0,bottom
C4,-56.812855,45.98127,270.0,bottom
C5,-54.102,59.2035,270.0,bottom
C6,-45.943,55.118,180.0,bottom
C7,-68.6015,35.814,0.0,bottom
C8,-65.532,37.3595,90.0,bottom
C9,-68.6015,33.782,0.0,bottom
D1,-60.114855,50.91277,90.0,bottom
D2,-71.842,51.188,0.0,bottom
D3,-37.016,9.461,270.0,bottom
D4,-61.308,58.166,180.0,bottom
D5,-69.596,44.45,270.0,bottom
D6,-72.202,22.994,90.0,bottom
D7,-41.5345,35.626,180.0,bottom
D8,-46.929,17.2775,270.0,bottom
D9,-71.501,-4.572,0.0,bottom
F2,-74.182,48.26,180.0,bottom
F3,-75.184,53.707,270.0,bottom
J1,-78.232,55.486,90.0,top
J10,-78.232,28.094,90.0,top
J11,-78.232,37.198,90.0,top
J12,-36.0,39.5,270.0,top
J2,-78.232,46.342,90.0,top
J3,-36.0,20.089,270.0,top
J4,-36.0,2.623,270.0,top
J5,-78.232,-1.838,90.0,top
J6,-78.232,18.95,90.0,top
J8,-78.232,9.806,90.0,top
L1,-55.288855,51.54777,180.0,bottom
R1,-54.780855,45.98127,270.0,bottom
R10,-73.152,18.66,270.0,bottom
R12,-40.445,41.548,90.0,bottom
R13,-42.207,0.063,180.0,bottom
R14,-69.199,-1.651,180.0,bottom
R16,-64.940855,44.30877,270.0,bottom
R2,-57.447855,42.91177,180.0,bottom
R3,-53.526855,42.91177,180.0,bottom
R4,-42.8735,59.166,270.0,bottom
R5,-40.7145,59.166,90.0,bottom
R6,-73.152,44.974,270.0,bottom
R7,-73.152,41.164,270.0,bottom
R8,-73.152,34.941,90.0,bottom
R9,-73.152,27.797,270.0,bottom
RESET,-42.477,42.421,270.0,top
U1,-61.722,22.352,0.0,top
U2,-62.019855,45.93827,270.0,bottom
U3,-48.6915,58.674,0.0,bottom
U4,-61.976,-1.905,90.0,bottom
U5,-46.922,12.123,0.0,top
Y1,-55.626,30.038,90.0,top
